date,batu-pahat,johor-bahru,kluang,kota-tinggi,kulai,mersing,muar,pontian,segamat,tangkak,under-investigation,total-johor
21/3/2020,23,52,26,0,5,1,13,3,1,3,0,127
24/3/2020,28,59,31,4,10,2,15,7,3,3,3,165
25/3/2020,29,68,54,5,10,2,15,7,3,3,0,196
26/3/2020,30,73,83,7,14,3,15,8,3,3,0,239
27/3/2020,30,80,83,7,18,3,15,11,4,3,5,259
28/3/2020,34,87,97,7,19,3,18,11,5,4,0,285
29/3/2020,36,105,97,10,19,3,18,11,5,5,0,309
30/3/2020,37,108,106,12,21,3,21,12,8,5,0,333
31/3/2020,39,112,107,12,23,3,27,12,9,5,0,349
1/4/2020,44,118,111,12,23,4,28,13,10,5,0,368
2/4/2020,48,125,122,13,24,4,28,13,12,6,0,395
3/4/2020,48,136,132,13,24,4,28,13,12,6,0,416
4/4/2020,47,137,135,14,24,4,28,13,14,6,0,422
5/4/2020,47,139,147,14,24,4,29,14,14,6,0,438
6/4/2020,47,145,170,14,24,4,30,14,14,6,0,468
7/4/2020,48,146,174,14,24,4,35,14,12,7,0,478
8/4/2020,48,158,175,14,27,4,36,14,12,8,0,496
9/4/2020,50,159,175,16,29,4,36,14,12,8,0,503
10/4/2020,50,171,176,16,30,4,38,16,13,9,0,523
11/4/2020,51,176,183,16,32,4,40,17,15,10,0,544
12/4/2020,51,177,193,16,35,4,40,17,15,10,0,558
13/4/2020,51,183,201,17,37,4,40,17,15,14,0,579
14/4/2020,51,184,201,19,38,4,44,17,15,14,0,587
15/4/2020,52,185,210,20,38,4,46,17,15,14,0,601
16/4/2020,52,185,221,21,38,4,47,17,15,14,0,614
17/4/2020,52,187,221,22,41,4,47,18,16,15,0,623
18/4/2020,53,191,222,24,45,4,47,18,20,15,0,639
19/4/2020,53,192,222,26,45,4,47,18,20,15,0,642
20/4/2020,53,193,222,26,45,4,48,18,20,15,0,644
21/4/2020,53,194,222,26,45,4,48,18,20,15,0,645
22/4/2020,53,196,222,26,45,4,49,18,20,15,0,648
23/4/2020,53,198,222,26,45,4,50,18,20,15,0,651
24/4/2020,53,201,222,26,45,4,51,18,20,15,0,655
25/4/2020,53,201,222,26,45,4,51,18,20,15,0,655
26/4/2020,53,204,222,26,45,4,52,18,20,15,0,659
27/4/2020,53,204,222,26,45,4,52,18,20,15,0,659
28/4/2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
