date,baling,bandar-bahru,kota-setar,kuala-muda,kubang-pasu,kulim,langkawi,padang-terap,pendang,sik,yan,total-kedah
21/3/2020,1,0,10,23,6,1,3,1,2,0,0,47
24/3/2020,1,1,15,27,7,5,3,1,3,1,0,64
25/3/2020,1,1,19,28,7,5,3,1,3,1,0,69
26/3/2020,1,1,22,28,7,5,3,1,3,1,0,72
27/3/2020,1,1,22,29,7,5,3,1,3,1,0,73
28/3/2020,1,1,22,29,7,5,4,1,3,1,0,74
29/3/2020,1,1,22,30,7,5,4,1,3,1,0,75
30/3/2020,1,1,22,30,7,7,4,1,3,1,0,77
31/3/2020,1,1,22,30,7,7,4,1,3,1,0,77
1/4/2020,1,1,22,30,8,8,4,1,3,1,0,79
2/4/2020,1,1,23,31,8,7,4,1,3,1,0,80
3/4/2020,1,1,23,32,8,7,4,1,3,1,0,81
4/4/2020,1,1,23,32,8,7,4,1,3,1,0,81
5/4/2020,1,1,23,33,8,7,4,1,3,1,0,82
6/4/2020,1,1,24,33,8,9,4,1,3,1,0,85
7/4/2020,1,1,26,35,8,10,4,1,3,1,0,90
8/4/2020,1,1,26,35,8,11,4,1,3,1,0,91
9/4/2020,1,1,26,35,8,13,4,1,3,1,0,93
10/4/2020,1,1,26,35,8,13,4,1,3,1,0,93
11/4/2020,1,1,26,35,8,13,4,1,3,1,0,93
12/4/2020,1,1,26,35,8,13,4,1,3,1,0,93
13/4/2020,1,1,26,35,8,13,4,1,3,1,0,93
14/4/2020,1,1,26,35,8,13,4,1,3,1,0,93
15/4/2020,1,1,27,35,8,13,4,1,3,1,0,94
16/4/2020,1,1,27,35,8,13,4,1,3,1,0,94
17/4/2020,1,1,27,35,8,13,4,1,3,1,0,94
18/4/2020,1,1,27,35,8,13,4,1,3,1,0,94
19/4/2020,1,1,27,35,8,13,4,1,3,1,0,94
20/4/2020,1,1,27,35,8,13,4,1,3,1,0,94
21/4/2020,1,1,27,35,8,13,4,1,3,1,0,94
22/4/2020,1,1,28,35,8,13,4,1,3,1,0,95
23/4/2020,1,1,28,35,8,13,4,1,3,1,0,95
24/4/2020,1,1,28,35,8,13,4,1,3,1,0,95
25/4/2020,1,1,28,35,8,13,4,1,3,1,0,95
26/4/2020,1,1,28,35,8,13,4,1,3,1,0,95
27/4/2020,1,1,28,35,8,13,4,1,3,1,0,95
28/4/2020,,,,,,,,,,,,
