date,bachok,gua-musang,jeli,kota-bharu,kuala-krai,pasir-mas,pasir-putih,tanah-merah,tumpat,machang,total-kelantan
21/3/2020,7,1,0,29,8,9,4,0,3,0,61
24/3/2020,8,1,0,43,8,9,5,1,3,0,78
25/3/2020,8,1,0,48,8,9,6,1,3,0,84
26/3/2020,9,2,0,55,8,9,6,1,4,0,94
27/3/2020,9,2,0,58,9,9,6,1,4,0,98
28/3/2020,9,2,0,68,9,9,6,1,4,0,108
29/3/2020,10,2,0,76,9,10,6,3,7,0,123
30/3/2020,10,2,0,79,9,10,7,3,7,0,127
31/3/2020,10,2,0,80,10,10,8,3,8,0,131
1/4/2020,10,2,1,82,11,9,7,4,8,0,134
2/4/2020,11,2,1,82,11,9,8,4,9,0,137
3/4/2020,11,2,1,82,11,9,8,4,9,0,137
4/4/2020,11,2,1,82,11,9,8,4,11,0,139
5/4/2020,11,2,1,82,11,10,8,4,12,0,141
6/4/2020,11,2,2,82,11,10,8,4,12,0,142
7/4/2020,11,2,2,85,11,10,8,6,12,0,147
8/4/2020,11,2,2,85,11,10,8,6,12,0,147
9/4/2020,11,2,2,85,11,11,8,6,12,0,148
10/4/2020,11,2,2,86,11,11,8,6,12,0,149
11/4/2020,11,2,2,88,11,11,8,6,12,0,151
12/4/2020,11,2,2,89,11,11,8,6,12,0,152
13/4/2020,11,2,2,90,11,11,8,6,13,0,154
14/4/2020,11,2,2,90,11,11,8,6,13,0,154
15/4/2020,11,2,2,90,11,11,8,6,13,0,154
16/4/2020,11,2,2,90,11,11,8,7,13,0,155
17/4/2020,11,2,2,90,11,11,8,7,13,0,155
18/4/2020,11,2,2,90,11,11,8,7,13,0,155
19/4/2020,11,2,2,90,11,11,8,7,13,0,155
20/4/2020,11,2,2,90,11,11,8,7,13,0,155
21/4/2020,11,2,2,90,11,11,8,7,13,0,155
22/4/2020,11,2,2,90,11,11,8,7,13,0,155
23/4/2020,11,2,2,90,11,11,8,7,13,0,155
24/4/2020,11,2,2,90,11,11,8,7,13,0,155
25/4/2020,11,2,2,90,11,11,8,7,13,0,155
26/4/2020,11,2,2,90,11,11,8,7,13,0,155
27/4/2020,11,2,2,90,11,11,8,7,13,0,155
