date,imported,jelebu,jempol,kuala-pilah,port-dickson,rembau,seremban,tampin,total-negeri-sembilan
21/3/2020,2,1,1,1,3,10,42,10,70
24/3/2020,2,1,1,3,5,12,74,11,109
25/3/2020,2,1,1,3,5,20,78,13,123
26/3/2020,2,1,3,3,5,20,85,13,132
27/3/2020,-,1,3,3,5,21,92,13,138
28/3/2020,-,1,3,3,5,26,101,14,153
29/3/2020,-,1,4,3,6,26,108,14,162
30/3/2020,-,1,4,3,6,26,118,14,172
31/3/2020,-,1,4,3,6,33,119,15,181
1/4/2020,-,1,5,3,6,35,124,15,189
2/4/2020,-,1,6,4,6,35,139,16,207
3/4/2020,-,1,6,4,7,36,141,16,211
4/4/2020,-,1,6,4,7,40,146,16,220
5/4/2020,-,1,7,4,7,40,156,16,231
6/4/2020,-,1,7,4,7,41,162,17,239
7/4/2020,-,1,9,4,9,47,174,17,261
8/4/2020,-,1,9,6,9,48,180,17,270
9/4/2020,-,1,9,6,9,51,188,17,281
10/4/2020,-,2,9,6,9,52,197,17,292
11/4/2020,-,2,9,6,9,53,213,17,309
12/4/2020,-,2,11,6,9,53,219,18,318
13/4/2020,-,2,12,6,9,53,260,18,360
14/4/2020,-,2,12,6,9,53,261,19,362
15/4/2020,-,2,12,6,9,53,262,19,363
16/4/2020,-,2,12,6,9,53,288,19,389
17/4/2020,-,2,12,6,9,53,301,19,402
18/4/2020,-,2,12,6,9,53,304,19,405
19/4/2020,-,2,12,6,9,53,304,19,405
20/4/2020,-,2,12,6,9,53,307,19,408
21/4/2020,-,2,12,6,9,53,308,19,409
22/4/2020,-,2,12,6,9,53,310,19,411
23/4/2020,-,2,12,6,9,53,330,19,431
24/4/2020,-,2,12,6,9,53,332,19,433
25/4/2020,-,2,12,6,9,53,332,19,433
26/4/2020,-,2,13,6,9,53,332,19,434
27/4/2020,-,2,13,6,9,53,333,19,435
28/4/2020,,,,,,,,,
