date,bentong,bera,cameron-highlands,jerantut,kuantan,lipis,maran,pekan,raub,rompin,temerloh,total-pahang
21/3/2020,4,1,0,7,11,1,1,13,0,0,2,40
24/3/2020,5,1,0,17,12,1,1,17,0,0,2,56
25/3/2020,5,4,0,17,13,1,2,18,1,0,3,64
26/3/2020,5,4,1,17,13,2,2,18,1,0,3,66
27/3/2020,5,6,1,17,15,2,2,18,1,0,3,70
28/3/2020,5,10,1,26,15,2,3,18,1,0,3,84
29/3/2020,6,9,1,27,19,3,5,20,1,1,4,96
30/3/2020,6,9,1,27,21,3,5,20,1,2,4,99
31/3/2020,6,9,1,27,24,3,5,20,1,2,4,102
1/4/2020,6,9,2,33,24,3,5,21,1,2,5,111
2/4/2020,6,9,2,33,27,3,5,21,1,2,5,114
3/4/2020,7,10,2,41,29,3,5,22,1,2,5,127
4/4/2020,7,9,2,58,36,4,5,22,1,2,5,151
5/4/2020,10,9,2,60,36,6,5,22,1,2,5,158
6/4/2020,11,9,2,61,36,6,5,23,1,2,5,161
7/4/2020,11,9,1,61,40,7,6,23,1,2,5,166
8/4/2020,11,9,1,61,43,7,6,23,1,2,5,169
9/4/2020,15,9,1,63,50,7,6,23,1,3,5,183
10/4/2020,15,9,1,63,53,7,6,23,1,3,6,187
11/4/2020,15,9,1,64,76,9,6,23,1,3,7,214
12/4/2020,15,9,2,70,80,9,6,23,1,3,7,225
13/4/2020,15,9,2,70,80,9,6,23,1,3,7,225
14/4/2020,15,9,2,70,91,9,6,23,1,3,7,236
15/4/2020,15,9,2,72,106,9,6,23,1,3,7,253
16/4/2020,15,9,2,72,114,9,6,23,1,3,7,261
17/4/2020,15,10,2,72,114,9,6,23,1,3,7,262
18/4/2020,15,10,2,72,116,9,6,23,1,3,7,264
19/4/2020,15,10,2,72,121,9,6,23,1,3,7,269
20/4/2020,15,10,2,72,123,9,6,23,1,3,7,271
21/4/2020,15,10,2,80,123,9,6,23,1,3,7,279
22/4/2020,15,10,2,83,126,9,6,23,1,3,7,285
23/4/2020,15,10,2,83,127,9,6,23,1,3,7,286
24/4/2020,15,10,2,83,128,9,6,23,1,3,7,287
25/4/2020,15,10,2,83,129,9,6,23,1,3,7,288
26/4/2020,15,10,2,83,129,9,6,23,1,3,7,288
27/4/2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
