date,northeast-penang-island,southwest-penang-island,north-seberang-perai,central-seberang-perai,south-seberang-perai,total-penang
21/3/2020,34,,16,,,50
23/3/2020,19,7,9,22,9,66
24/3/2020,19,7,11,22,9,68
25/3/2020,20,7,11,23,9,70
26/3/2020,20,8,11,23,12,74
27/3/2020,23,8,12,28,9,80
28/3/2020,26,9,12,30,9,86
29/3/2020,27,9,12,30,9,87
30/3/2020,27,9,12,30,10,88
31/3/2020,27,9,15,32,11,94
1/4/2020,27,9,15,34,11,96
2/4/2020,27,9,16,35,11,98
3/4/2020,27,9,16,35,11,98
4/4/2020,27,9,17,36,10,99
5/4/2020,27,10,17,37,10,101
6/4/2020,27,10,17,37,10,101
7/4/2020,27,11,17,37,10,102
8/4/2020,29,11,20,37,11,108
9/4/2020,29,11,20,37,11,108
10/4/2020,29,11,20,38,11,109
11/4/2020,30,12,23,38,11,114
12/4/2020,32,12,23,38,11,116
13/4/2020,32,12,23,38,11,116
14/4/2020,32,13,23,40,11,119
15/4/2020,32,13,23,40,11,119
16/4/2020,32,13,23,40,11,119
17/4/2020,32,13,23,40,11,119
18/4/2020,32,13,23,40,11,119
19/4/2020,32,13,23,40,11,119
20/4/2020,32,13,23,40,11,119
21/4/2020,32,13,23,40,11,119
22/4/2020,32,13,23,40,11,119
23/4/2020,32,13,23,40,11,119
24/4/2020,32,13,23,40,11,119
25/4/2020,32,13,23,40,11,119
26/4/2020,32,13,25,40,11,121
27/4/2020,32,13,25,40,11,121
