date,asajaya,bau,betong,bintulu,kuching,lawas,limbang,matu,miri,mukah,samarahan,sarikei,serian,sibu,simunjan,sri-aman,tebedu,meradong,pakan,tatau,selangau,baram,belaga,dalat,daro,julau,kanowit,kapit,lundu,song,saratok,lubok-antu,under-investigation,total-sarawak
21/3/2020,0,0,7,4,30,1,5,1,8,1,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
24/3/2020,0,0,7,4,44,1,6,1,8,1,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
25/3/2020,0,0,7,5,45,1,6,1,8,1,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
26/3/2020,0,0,7,6,52,1,6,1,8,1,3,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
27/3/2020,0,0,7,6,66,1,6,1,8,1,4,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
28/3/2020,0,0,8,6,72,1,6,1,8,1,4,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
29/3/2020,0,0,8,6,78,1,6,1,8,1,9,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
30/3/2020,0,0,9,6,81,1,6,1,10,1,9,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
31/3/2020,0,0,9,6,97,1,6,1,10,1,11,5,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
1/4/2020,0,0,9,6,128,1,6,1,10,1,12,5,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
2/4/2020,0,0,11,6,141,1,6,1,10,1,20,5,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
3/4/2020,0,0,11,6,153,1,7,1,12,1,25,5,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,239
