date,gombak,hulu-langat,hulu-selangor,klang,kuala-langat,kuala-selangor,petaling,sabak-bernam,sepang,under-investigation,imported,total-selangor
21/3/2020,38,75,3,23,8,17,96,0,8,0,-,268
24/3/2020,50,103,5,28,8,17,158,0,9,3,-,381
25/3/2020,53,132,7,35,10,18,167,1,9,3,-,435
26/3/2020,54,186,7,44,12,18,176,1,9,3,-,510
27/3/2020,55,202,7,46,14,18,190,1,10,3,-,546
28/3/2020,57,206,9,51,14,18,209,1,11,3,-,579
29/3/2020,59,209,10,62,15,18,223,1,12,3,-,612
30/3/2020,59,258,10,70,15,18,224,1,14,3,-,672
31/3/2020,62,265,12,74,16,19,234,2,17,3,-,704
1/4/2020,63,273,16,76,16,19,242,4,17,0,-,726
2/4/2020,70,287,18,80,18,26,274,6,21,0,-,800
3/4/2020,76,302,24,88,20,32,292,7,22,0,-,863
4/4/2020,77,307,26,88,20,32,308,9,23,0,-,890
5/4/2020,100,318,25,109,21,29,292,10,39,0,-,943
6/4/2020,110,324,27,112,22,30,296,10,39,0,-,970
7/4/2020,111,345,27,123,22,30,306,10,46,1,-,1021
8/4/2020,117,361,34,134,23,30,318,13,47,0,-,1077
9/4/2020,121,366,43,152,23,29,314,11,59,0,-,1118
10/4/2020,123,368,44,159,23,30,328,14,59,0,-,1148
11/4/2020,125,378,45,169,24,31,335,15,61,0,-,1183
12/4/2020,132,388,48,172,25,32,356,17,66,0,-,1236
13/4/2020,133,419,45,164,25,33,346,18,66,0,-,1249
14/4/2020,141,433,49,167,25,35,359,23,67,0,-,1299
15/4/2020,142,440,49,171,25,35,363,23,68,0,-,1316
16/4/2020,143,446,49,172,25,35,366,23,70,0,-,1329
17/4/2020,144,445,50,173,27,35,371,23,70,0,-,1338
18/4/2020,144,445,50,173,27,35,373,23,70,0,-,1340
19/4/2020,144,446,50,173,27,35,375,23,70,0,-,1343
20/4/2020,144,446,50,173,29,35,374,23,71,0,-,1345
21/4/2020,144,446,50,173,32,35,371,23,71,0,11,1356
22/4/2020,#REF!,,,,,,,,,,11,#REF!
23/4/2020,,,,,,,,,,,11,11
24/4/2020,,,,,,,,,,,11,11
25/4/2020,,,,,,,,,,,11,11
26/4/2020,,,,,,,,,,,11,11
27/4/2020,144,446,50,173,32,35,371,23,71,0,11,1356
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
