date,cheras,kepong,lembah-pantai,titiwangsa,total-wp-kuala-lumpur
21/3/2020,11,24,90,41,166
24/3/2020,12,32,167,46,257
25/3/2020,16,38,167,49,270
26/3/2020,19,45,208,49,321
27/3/2020,25,47,215,50,337
28/3/2020,25,50,218,51,344
29/3/2020,28,68,219,57,372
30/3/2020,31,75,226,64,396
31/3/2020,33,84,238,75,430
1/4/2020,35,91,249,80,455
2/4/2020,37,96,274,81,488
3/4/2020,37,100,322,84,543
4/4/2020,38,104,367,86,595
5/4/2020,44,112,376,90,622
6/4/2020,45,116,386,93,640
7/4/2020,59,105,412,95,671
8/4/2020,64,107,417,97,685
9/4/2020,64,110,424,101,699
10/4/2020,66,114,427,106,713
11/4/2020,69,119,459,112,759
12/4/2020,71,121,496,115,803
13/4/2020,73,126,515,116,830
14/4/2020,74,131,572,122,899
15/4/2020,78,142,577,129,926
16/4/2020,82,148,592,130,952
17/4/2020,84,149,604,134,971
18/4/2020,85,153,613,134,985
19/4/2020,85,157,628,134,1004
20/4/2020,86,159,629,134,1008
21/4/2020,93,159,634,135,1021
22/4/2020,95,159,646,137,1037
23/4/2020,95,160,670,141,1066
24/4/2020,97,168,709,141,1115
25/4/2020,98,178,736,142,1154
26/4/2020,98,181,742,149,1170
27/4/2020,,,,,0
28/4/2020,,,,,0
