date,time,total,positive,negative,pending
6/2/2020,12:00,367,12,348,7
8/2/2020,10:00,539,16,495,28
10/2/2020,10:00,587,18,552,17
19/2/2020,10:00,882,22,812,48
9/3/2020,16:00,3010,117,2569,324
11/3/2020,16:00,3842,149,3424,269
18/3/2020,11:00,10944,790,6857,3297
23/3/2020,11:00,15196,1306,9969,3921
23/3/2020,17:00,17923,1518,11592,4813
24/3/2020,17:00,18416,1624,11970,4822
25/3/2020,17:00,20861,1796,14024,5041
26/3/2020,12:00,21885,2031,14952,4902
27/3/2020,12:00,30948,2161,22007,6780
28/3/2020,12:00,35516,2320,24727,8469
29/3/2020,12:00,37674,2470,26991,8213
30/3/2020,12:00,39663,2626,28580,8457
31/3/2020,12:00,40483,2766,29498,8219
